route_id,agency_id,route_short_name,route_long_name,trip_count,route_intensity_level
9810_700,341,595,NULL,27,High
9812_700,341,598,NULL,38,High
24824_700,346,601,NULL,22,Critical
24827_700,346,604,NULL,29,Critical
24830_700,346,607,NULL,29,High
24832_700,346,609,NULL,22,High
24836_700,346,613,NULL,32,Medium
24839_700,346,616,NULL,50,Critical
24840_700,346,617,NULL,37,High
24841_700,346,618,NULL,30,Critical
24843_700,346,620,NULL,31,High
24844_700,346,621,NULL,24,High
24845_700,346,622,NULL,57,Critical
24846_700,346,623,NULL,26,High
24847_700,346,624,NULL,22,High
24849_700,346,626,NULL,38,Critical
24850_700,346,641,NULL,32,Medium
18325_700,476,550,NULL,59,Critical
18326_700,476,554,NULL,96,Critical
18469_700,480,591,NULL,25,High
12532_900,486,88,NULL,257,Critical
12889_900,516,2,NULL,197,High
12890_900,516,3,NULL,218,Critical
12891_900,516,4,NULL,288,Critical
13105_700,516,12,NULL,127,Critical
13106_700,516,13,NULL,193,Critical
13107_700,516,15,NULL,104,Critical
13108_700,516,16,NULL,263,Critical
13110_700,516,19,NULL,65,Critical
13111_700,516,20,NULL,137,Critical
13118_700,516,26,NULL,67,Critical
13133_700,516,44,NULL,95,Critical
13443_700,516,17,NULL,81,Critical
15624_700,516,10,NULL,112,Critical
21205_700,516,EV1,NULL,246,Critical
26978_700,516,800,NULL,107,Critical
26981_700,516,851,NULL,93,Critical
26983_700,516,853,NULL,68,Critical
26985_700,516,855,NULL,78,Critical
26990_700,516,860,NULL,64,Critical
26991_700,516,861,NULL,71,Critical
26995_700,516,872,NULL,171,Critical
27004_700,516,885,NULL,64,Critical
27005_700,516,886,NULL,89,Critical
27007_700,516,890,NULL,173,Critical
27265_700,566,400,NULL,49,High
27275_700,566,411,NULL,110,High
27276_700,566,412,NULL,72,Medium
27277_700,566,413,NULL,69,High
27278_700,566,414,NULL,41,Medium
27279_700,566,416,NULL,34,High
27280_700,566,418,NULL,98,Medium
27282_700,566,420,NULL,46,Medium
27285_700,566,424,NULL,46,Medium
27288_700,566,428,NULL,53,High
27289_700,566,429,NULL,56,High
27290_700,566,430,NULL,31,High
27291_700,566,431,NULL,35,High
27295_700,566,435,NULL,48,Medium
27296_700,566,436,NULL,31,High
27300_700,566,440,NULL,51,High
27304_700,566,453,NULL,51,Medium
27305_700,566,454,NULL,89,High
25905_700,721,B/691,NULL,26,High
25906_700,721,C/692,NULL,30,Critical
22688_700,726,705,NULL,59,Critical
22691_700,726,711,NULL,124,Critical
22692_700,726,712,NULL,58,Critical
22694_700,726,714,NULL,55,Critical
22696_700,726,717,NULL,75,Critical
22702_700,726,744,NULL,107,Critical
22703_700,726,745,NULL,64,Critical
22705_700,726,748,NULL,55,Critical
22706_700,726,752,NULL,60,Critical
22708_700,726,756,NULL,57,Critical
22709_700,726,757,NULL,52,Critical
22712_700,726,764,NULL,73,Critical
22714_700,726,770,NULL,131,Critical
22716_700,726,772,NULL,51,Critical
22717_700,726,777,NULL,85,Critical
22718_700,726,779,NULL,68,Critical
22721_700,726,785,NULL,68,Critical
22723_700,726,788,NULL,60,Critical
22726_700,726,794,NULL,81,Critical
22739_700,726,758,NULL,48,Critical
16345_100,731,RB33,NULL,86,Critical
23945_100,731,RE1,NULL,593,Critical
23946_100,731,RE8,NULL,174,Critical
24109_700,731,RE1,NULL,269,Critical
24415_100,731,RE8,NULL,194,Critical
20812_106,751,RB74,NULL,55,Critical
20813_106,751,RB73,NULL,52,Critical
26351_700,751,Bus73,NULL,51,Critical
24714_700,772,T1,NULL,196,Critical
17063_700,781,559,NULL,35,Critical
17064_700,781,593,NULL,38,Critical
17282_700,796,50,NULL,1181,Critical
17289_700,796,100,NULL,896,Critical
17292_700,796,106,NULL,1029,Critical
17295_700,796,109,NULL,957,Critical
17296_700,796,110,NULL,673,Critical
17297_700,796,112,NULL,674,Critical
17299_700,796,115,NULL,781,Critical
17300_700,796,118,NULL,720,Critical
17301_900,796,12,NULL,1048,Critical
17302_700,796,120,NULL,1008,Critical
17303_700,796,122,NULL,1286,Critical
17304_700,796,123,NULL,884,Critical
17305_700,796,124,NULL,708,Critical
17306_700,796,125,NULL,1026,Critical
17307_700,796,128,NULL,819,Critical
17308_700,796,130,NULL,978,Critical
17310_700,796,133,NULL,728,Critical
17311_700,796,134,NULL,955,Critical
17313_700,796,136,NULL,1151,Critical
17314_700,796,137,NULL,1021,Critical
17316_700,796,140,NULL,1131,Critical
17317_700,796,142,NULL,676,Critical
17318_700,796,147,NULL,647,Critical
17319_700,796,150,NULL,1012,Critical
17321_700,796,155,NULL,781,Critical
17322_700,796,156,NULL,725,Critical
17327_700,796,162,NULL,723,Critical
17329_700,796,164,NULL,722,Critical
17330_700,796,165,NULL,767,Critical
17333_700,796,170,NULL,863,Critical
17334_700,796,171,NULL,714,Critical
17335_700,796,172,NULL,1023,Critical
17338_900,796,18,NULL,758,Critical
17339_700,796,181,NULL,1034,Critical
17340_700,796,184,NULL,1215,Critical
17341_700,796,186,NULL,1066,Critical
17342_700,796,187,NULL,1002,Critical
17347_700,796,194,NULL,1143,Critical
17348_700,796,195,NULL,916,Critical
17349_700,796,197,NULL,830,Critical
17350_700,796,200,NULL,719,Critical
17355_700,796,221,NULL,766,Critical
17356_700,796,222,NULL,926,Critical
17359_700,796,237,NULL,896,Critical
17360_700,796,240,NULL,860,Critical
17361_700,796,245,NULL,940,Critical
17362_700,796,246,NULL,996,Critical
17363_700,796,247,NULL,652,Critical
17364_700,796,248,NULL,1010,Critical
17365_700,796,249,NULL,755,Critical
17366_700,796,250,NULL,966,Critical
17367_700,796,255,NULL,1270,Critical
17368_700,796,256,NULL,698,Critical
17370_700,796,260,NULL,777,Critical
17372_700,796,265,NULL,668,Critical
17374_900,796,27,NULL,983,Critical
17377_700,796,277,NULL,670,Critical
17378_700,796,282,NULL,1083,Critical
17379_700,796,283,NULL,901,Critical
17381_700,796,285,NULL,776,Critical
17384_700,796,296,NULL,700,Critical
17400_700,796,350,NULL,664,Critical
17416_900,796,50,NULL,824,Critical
17419_900,796,62,NULL,708,Critical
17420_900,796,63,NULL,864,Critical
17422_900,796,68,NULL,881,Critical
17435_700,796,M1,NULL,1620,Critical
17438_900,796,M1,NULL,1998,Critical
17440_900,796,M10,NULL,2111,Critical
17441_700,796,M11,NULL,1285,Critical
17442_900,796,M13,NULL,1676,Critical
17444_900,796,M17,NULL,1448,Critical
17445_700,796,M19,NULL,1341,Critical
17446_900,796,M2,NULL,1469,Critical
17447_700,796,M21,NULL,1173,Critical
17448_700,796,M27,NULL,1530,Critical
17449_700,796,M29,NULL,2425,Critical
17450_700,796,M32,NULL,2007,Critical
17451_700,796,M37,NULL,1189,Critical
17452_900,796,M4,NULL,2288,Critical
17453_700,796,M41,NULL,2932,Critical
17454_700,796,M44,NULL,1675,Critical
17455_700,796,M45,NULL,1672,Critical
17456_700,796,M46,NULL,1314,Critical
17457_700,796,M48,NULL,1184,Critical
17458_700,796,M49,NULL,1219,Critical
17459_900,796,M5,NULL,1526,Critical
17460_900,796,M6,NULL,1483,Critical
17461_700,796,M76,NULL,1135,Critical
17462_700,796,M77,NULL,1047,Critical
17463_900,796,M8,NULL,1833,Critical
17464_700,796,M82,NULL,1073,Critical
17465_700,796,M85,NULL,1138,Critical
17512_400,796,U1,NULL,1011,Critical
17513_400,796,U12,NULL,766,Critical
17514_400,796,U2,NULL,2846,Critical
17515_400,796,U3,NULL,1706,Critical
17518_400,796,U5,NULL,831,Critical
17520_700,796,U6,NULL,3056,Critical
17521_400,796,U6,NULL,1239,Critical
17523_400,796,U7,NULL,984,Critical
17525_400,796,U8,NULL,689,Critical
17526_400,796,U9,NULL,759,Critical
17529_700,796,X10,NULL,832,Critical
17530_700,796,X11,NULL,700,Critical
17531_700,796,X21,NULL,875,Critical
17532_700,796,X33,NULL,914,Critical
17533_700,796,X34,NULL,943,Critical
17535_700,796,X54,NULL,866,Critical
17537_700,796,X76,NULL,878,Critical
17538_700,796,X83,NULL,1433,Critical
18374_700,796,169,NULL,913,Critical
22390_700,796,X71,NULL,661,Critical
22754_700,796,M36,NULL,1729,Critical
23154_700,796,X37,NULL,731,Critical
23415_700,796,M43,NULL,1254,Critical
17680_100,811,RB45,NULL,84,Critical
17809_700,816,901,NULL,37,High
17810_700,816,902,NULL,62,Critical
17811_700,816,903,NULL,27,Critical
17812_700,816,904,NULL,32,Critical
17814_3,816,912,NULL,23,Critical
17816_3,816,915,NULL,28,Critical
17816_700,816,915,NULL,24,Critical
17817_3,816,917,NULL,24,Critical
17819_3,816,920,NULL,24,Critical
17819_700,816,920,NULL,35,Critical
17820_3,816,923,NULL,25,Critical
17822_3,816,925,NULL,23,Critical
17823_3,816,931,NULL,27,Critical
17828_3,816,936,NULL,22,High
17833_700,816,941,NULL,24,Low
17834_700,816,942,NULL,46,High
17836_700,816,944,NULL,104,Critical
17837_700,816,945,NULL,53,Critical
17838_700,816,946,NULL,34,High
17839_700,816,947,NULL,34,Critical
17840_700,816,948,NULL,20,High
17841_3,816,949,NULL,24,High
17846_3,816,954,NULL,74,Critical
17846_700,816,954,NULL,39,Critical
17848_700,816,957,NULL,35,Critical
17849_3,816,958,NULL,35,Critical
17849_700,816,958,NULL,44,High
17850_3,816,960,NULL,39,Critical
17850_700,816,960,NULL,21,High
17856_3,816,976,NULL,28,Critical
17857_700,816,977,NULL,22,Critical
18341_700,841,928,NULL,74,High
18349_700,841,939,NULL,87,High
18350_700,841,940,NULL,114,High
18351_700,841,941,NULL,123,Critical
18353_700,841,943,NULL,103,Critical
18354_700,841,944,NULL,109,Critical
18358_700,841,948,NULL,85,High
18359_700,841,949,NULL,88,High
18360_700,841,950,NULL,129,Critical
18361_700,841,951,NULL,162,Critical
18362_700,841,955,NULL,53,Critical
18365_700,841,958,NULL,80,Critical
18369_700,841,968,NULL,69,Critical
18370_700,841,969,NULL,80,Critical
18895_700,846,569,NULL,121,Critical
18898_700,846,580,NULL,139,Critical
18900_700,846,582,NULL,115,Critical
18908_700,846,590,NULL,105,Critical
18909_700,846,601,NULL,173,Critical
18911_700,846,607,NULL,134,Critical
18913_700,846,608,NULL,114,Critical
18914_700,846,610,NULL,134,Critical
18915_700,846,611,NULL,296,Critical
18920_700,846,620,NULL,592,Critical
18921_700,846,621,NULL,115,Critical
18922_700,846,622,NULL,445,Critical
18923_700,846,623,NULL,392,Critical
18926_700,846,626,NULL,349,Critical
18927_700,846,627,NULL,128,Critical
18929_700,846,629,NULL,140,Critical
18931_700,846,631,NULL,408,Critical
18932_700,846,632,NULL,276,Critical
18933_700,846,633,NULL,140,Critical
18937_700,846,643,NULL,203,Critical
18939_700,846,645,NULL,188,Critical
18945_700,846,X1,NULL,282,Critical
20930_700,846,641,NULL,119,Critical
22451_700,846,541,NULL,104,Critical
23185_700,846,X2,NULL,172,Critical
26783_106,976,RB12,NULL,228,Critical
26784_100,976,RB25,NULL,132,Critical
26784_106,976,RB25,NULL,150,Critical
26785_106,976,RB26,NULL,218,Critical
26786_106,976,RB27,NULL,162,Critical
26788_106,976,RB36,NULL,132,Critical
